Date,HG=F_Close,HG=F_dailyReturns,copx_Close,copx_dailyReturns,spread,abs_sprd,HG=F_rolling avg,copx_rolling avg,isSprdPos,signal,axe,leverage,ratio,HG=F_Size,copx_Size,HG=F_Cashflow,copx_Cashflow,HG=F_MTM,copx_MTM,Live Trades,HG=F_PnL,copx_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-01-03,3.8475000858306885,-0.0055569585011168154,36.959999084472656,-0.006718624191106803,0.001161665689989988,0.001161665689989988,,,1,0,,5,11.614392788745516,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-04,3.8310000896453857,-0.004288497938198299,36.880001068115234,-0.0021644485481340237,-0.0021240493900642754,0.0021240493900642754,,,0,0,0.0,5,4.8587082708308245,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-05,3.7945001125335693,-0.00952753230428538,36.880001068115234,0.0,-0.00952753230428538,0.00952753230428538,,,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-08,3.799499988555908,0.0013176639541592206,37.130001068115234,0.006778741669184463,-0.005461077715025242,0.005461077715025242,,,0,0,0.0,5,50.27394113508161,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2024-01-09,3.748500108718872,-0.013422787206381792,36.45000076293945,-0.018314039472509425,0.0048912522661276325,0.0048912522661276325,0.0055627785745490585,0.009324673691801665,1,0,0.0,5,13.267266550233343,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009324673691801665,0.0,0.0,0.0,0,0.0,0.0
2024-01-10,3.7809998989105225,0.008670078497812206,36.4900016784668,0.0010974187843644234,0.0075726597134477824,0.0075726597134477824,0.008756752887166035,0.009427099420053552,1,0,0.0,5,1.2215649910243311,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009427099420053552,0.0,0.0,0.0,0,0.0,0.0
2024-01-11,3.7764999866485596,-0.001190138159818388,36.560001373291016,0.0019183253385688381,-0.003108463498387226,0.003108463498387226,0.008792157682837415,0.009640061222943907,0,0,0.0,5,15.604203261146585,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009640061222943907,0.0,0.0,0.0,0,0.0,0.0
2024-01-12,3.740000009536743,-0.009665027734902298,36.86000061035156,0.008205668101525676,-0.017870695836427974,0.017870695836427974,0.008818515772491164,0.010648391482661996,0,1,1.0,5,8.367477958483454,42.0,-5.0,-157.0800004005432,184.3000030517578,0.0,0.0,Opened,-157.0800004005432,184.3000030517578,0.0,0.010648391482661996,341.380003452301,0.0,0.0,0,0.0,341.380003452301
2024-01-16,3.7664999961853027,0.007085557909354723,35.7400016784668,-0.030385211973388615,0.03747076988274334,0.03747076988274334,0.00982153020183708,0.016201579791891064,1,0,-1.0,5,40.691604602579986,-42.0,5.0,158.19299983978271,-178.70000839233398,1.112999439239502,5.599994659423828,Closed,158.19299983978271,-178.70000839233398,6.71299409866333,0.016201579791891064,336.8930082321167,6.71299409866333,0.019926190020655248,0,6.71299409866333,0.0
2024-01-17,3.7325000762939453,-0.009026926835468574,34.88999938964844,-0.02378293925292352,0.014756012417454945,0.014756012417454945,0.008635456874663203,0.01726428478885396,1,0,0.0,5,24.627863662038443,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01726428478885396,0.0,0.0,0.0,0,0.0,0.0
2024-01-18,3.744999885559082,0.003348910652279935,34.900001525878906,0.00028667630855383486,0.0030622343437261,0.0030622343437261,0.00741423311959017,0.017154015663433365,1,0,0.0,5,0.7977409386752286,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.017154015663433365,0.0,0.0,0.0,0,0.0,0.0
2024-01-19,3.7869999408721924,0.011214968383594481,35.290000915527344,0.011174767123125928,4.02012604685531e-05,4.02012604685531e-05,0.009491373426678183,0.0189941803636622,1,0,0.0,5,9.285318368213545,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0189941803636622,0.0,0.0,0.0,0,0.0,0.0
2024-01-22,3.7639999389648438,-0.006073409629378412,34.470001220703125,-0.02323603495468951,0.0171626253253111,0.0171626253253111,0.008616690468032056,0.01791696937188943,1,0,0.0,5,35.0365341294763,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01791696937188943,0.0,0.0,0.0,0,0.0,0.0
2024-01-23,3.7904999256134033,0.007040379138754105,35.2599983215332,0.022918394918872043,-0.015878015780117938,0.015878015780117938,0.00860914005457452,0.020759349689359947,0,0,0.0,5,30.28126027765781,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.020759349689359947,0.0,0.0,0.0,0,0.0,0.0
2024-01-24,3.882499933242798,0.024271206815683177,36.349998474121094,0.030913221907961086,-0.006642015092277909,0.006642015092277909,0.011132101322799688,0.021165965385994523,0,0,0.0,5,11.924655481457116,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.021165965385994523,0.0,0.0,0.0,0,0.0,0.0
2024-01-25,3.865499973297119,-0.004378611780549324,36.68000030517578,0.009078455155634435,-0.01345706693618376,0.01345706693618376,0.012396948694052494,0.02068191859062731,0,0,0.0,5,19.67429447811594,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02068191859062731,0.0,0.0,0.0,0,0.0,0.0
2024-01-26,3.8505001068115234,-0.0038804466664635884,36.4900016784668,-0.00517989708637423,0.0012994504199106416,0.0012994504199106416,0.012768288275117516,0.02174898835913203,1,0,0.0,5,12.650164006830305,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02174898835913203,0.0,0.0,0.0,0,0.0,0.0
2024-01-29,3.872999906539917,0.00584334478749704,36.79999923706055,0.008495410916264268,-0.0026520661287672276,0.0026520661287672276,0.011619368714906491,0.014010140609793265,0,0,0.0,5,13.814119248470966,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014010140609793265,0.0,0.0,0.0,0,0.0,0.0
2024-01-30,3.9065001010894775,0.008649676054211186,36.720001220703125,-0.002173859185215843,0.010823535239427029,0.010823535239427029,0.011685141122204064,0.014172018606023983,1,0,0.0,5,2.362361809148928,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014172018606023983,0.0,0.0,0.0,0,0.0,0.0
2024-01-31,3.9024999141693115,-0.0010239822901964013,36.189998626708984,-0.014433621360974258,0.013409639070777857,0.013409639070777857,0.005890913401102966,0.009885924866814735,1,1,1.0,5,130.7159330023419,-654.0,5.0,2552.2349438667297,-180.94999313354492,0.0,0.0,Opened,2552.2349438667297,-180.94999313354492,0.0,0.009885924866814735,2733.1849370002747,0.0,0.0,0,0.0,2733.1849370002747
2024-02-01,3.8524999618530273,-0.012812287870844763,36.709999084472656,0.014368623307432271,-0.027180911178277034,0.027180911178277034,0.008472665718855774,0.011382925015989642,0,0,-1.0,5,10.686369877121834,654.0,-5.0,-2519.53497505188,183.54999542236328,32.69996881484985,2.6000022888183594,Closed,-2519.53497505188,183.54999542236328,35.29997110366821,0.011382925015989642,2703.084970474243,35.29997110366821,0.01305914223535304,0,35.29997110366821,0.0
2024-02-02,3.821500062942505,-0.008046696746912274,35.79999923706055,-0.024788882323808492,0.016742185576896218,0.016742185576896218,0.009055273357673432,0.0161049967214286,1,1,1.0,5,28.859477079495775,-145.0,5.0,554.1175091266632,-178.99999618530273,0.0,0.0,Opened,554.1175091266632,-178.99999618530273,0.0,0.0161049967214286,733.1175053119659,0.0,0.0,0,0.0,733.1175053119659
2024-02-05,3.7720000743865967,-0.012953025707343246,35.099998474121094,-0.019553094353555345,0.006600068646212098,0.006600068646212098,0.009157042707162801,0.01567138948130005,1,1,0.0,5,14.046873567879071,145.0,-5.0,-546.9400107860565,175.49999237060547,7.1774983406066895,-3.5000038146972656,Live,0.0,0.0,0.0,0.01567138948130005,722.440003156662,3.677494525909424,0.0050903805296506465,0,0.0,0.0
